Server IP,QueryState,PlayersOnline,PlayerNames,Time (Epoch),Time (Human-Readable) [EST]
festivianservers.net,False,0,*,1714514400,04-30-2024_17-00-00
festivianservers.net,False,0,*,1714514513,04-30-2024_17-01-53
festivianservers.net,False,0,*,1714514976,04-30-2024_17-09-36
festivianservers.net,False,0,*,1714516271,04-30-2024_17-31-11
festivianservers.net,False,0,*,1714516968,04-30-2024_17-42-48
festivianservers.net,False,0,*,1714516980,04-30-2024_17-43-00
festivianservers.net,False,0,*,1714517040,04-30-2024_17-44-00
festivianservers.net,False,0,*,1714517100,04-30-2024_17-45-00
festivianservers.net,False,0,*,1714517161,04-30-2024_17-46-01
festivianservers.net,False,0,*,1714517220,04-30-2024_17-47-00
festivianservers.net,False,0,*,1714517280,04-30-2024_17-48-00
festivianservers.net,False,0,*,1714517340,04-30-2024_17-49-00
festivianservers.net,False,0,*,1714517400,04-30-2024_17-50-00
festivianservers.net,False,0,*,1714517460,04-30-2024_17-51-00
festivianservers.net,False,0,*,1714517520,04-30-2024_17-52-00
festivianservers.net,False,0,*,1714517580,04-30-2024_17-53-00
festivianservers.net,False,0,*,1714517640,04-30-2024_17-54-00
festivianservers.net,False,0,*,1714517700,04-30-2024_17-55-00
festivianservers.net,False,0,*,1714517760,04-30-2024_17-56-00
festivianservers.net,False,0,*,1714517821,04-30-2024_17-57-01
festivianservers.net,False,0,*,1714517880,04-30-2024_17-58-00
festivianservers.net,False,0,*,1714517940,04-30-2024_17-59-00
