Server IP,QueryState,PlayersOnline,PlayerNames,Time (Epoch),Time (Human-Readable) [EST]
festivianservers.net,False,0,*,1714593600,05-01-2024_15-00-00
festivianservers.net,False,0,*,1714593660,05-01-2024_15-01-00
festivianservers.net,False,0,*,1714593720,05-01-2024_15-02-00
festivianservers.net,False,0,*,1714593780,05-01-2024_15-03-00
festivianservers.net,False,0,*,1714593841,05-01-2024_15-04-01
festivianservers.net,False,0,*,1714593900,05-01-2024_15-05-00
festivianservers.net,False,0,*,1714593961,05-01-2024_15-06-01
festivianservers.net,False,0,*,1714594020,05-01-2024_15-07-00
festivianservers.net,False,0,*,1714594081,05-01-2024_15-08-01
festivianservers.net,False,0,*,1714594140,05-01-2024_15-09-00
festivianservers.net,False,0,*,1714594200,05-01-2024_15-10-00
festivianservers.net,False,0,*,1714594260,05-01-2024_15-11-00
festivianservers.net,False,0,*,1714594320,05-01-2024_15-12-00
